CITY_CODE;CITY_NAME;TOTAL_VOTERS;ISSUED_VOTES;VALID_VOTES;PARTIES
532347;Hostouò;915;573;568;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|Radostné Èesko|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Obèanská demokratická aliance|Èeská pirátská strana|Referendum o Evropské unii|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|SPORTOVCI|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532355;Hradeèno;409;264;263;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532363;Hrdlív;392;251;250;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|SPORTOVCI|Svob.a pø.dem.-T.Okamura (SPD)
532371;Høebeè;1528;979;946;Obèanská demokratická strana|Øád národa - Vlastenecká unie|CESTA ODPOVÌDNÉ SPOLEÈNOSTI|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Obèanská demokratická aliance|Èeská pirátská strana|Unie H.A.V.E.L.|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|Èeská strana národnì sociální|REALISTÉ|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532398;Chrín;204;124;124;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|Radostné Èesko|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|Strana svobodnıch obèanù|Èeská pirátská strana|Referendum o Evropské unii|TOP 09|ANO 2011|REALISTÉ|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)
532401;Jarpice;228;137;137;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|Radostné Èesko|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Èeská pirátská strana|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|Svob.a pø.dem.-T.Okamura (SPD)
532410;Jedomìlice;305;203;202;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|Referendum o Evropské unii|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)
532428;Jemníky;204;142;142;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|Obèanská demokratická aliance|Èeská pirátská strana|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Svob.a pø.dem.-T.Okamura (SPD)
532444;Kaèice;990;612;612;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Èeská pirátská strana|Unie H.A.V.E.L.|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532452;Kamenné ehrovice;1426;930;923;Obèanská demokratická strana|Øád národa - Vlastenecká unie|Èeská str.sociálnì demokrat.|Radostné Èesko|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Èeská pirátská strana|Unie H.A.V.E.L.|TOP 09|ANO 2011|Dobrá volba 2016|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|SPORTOVCI|Svob.a pø.dem.-T.Okamura (SPD)
